Wavelength,d45_Reflectance,d_Reflectance,v45_Reflectance,v_Reflectance
543.355,2.04,12.1,6.99,39.68
543.697,2.08,12.16,7,40.13
544.04,2.11,12.23,7.03,40.44
544.382,2.13,12.22,7.03,40.65
544.725,2.14,12.27,7.03,40.72
545.067,2.15,12.26,7.03,40.61
545.41,2.16,12.26,7.02,40.25
545.752,2.15,12.26,6.99,40.05
546.094,2.16,12.27,6.98,39.78
546.436,2.14,12.28,6.94,39.43
546.778,2.15,12.36,6.9,39.18
547.121,2.13,12.35,6.86,38.99
547.463,2.11,12.39,6.8,38.79
547.805,2.07,12.43,6.78,38.64
548.147,2.05,12.52,6.76,38.4
548.489,1.99,12.51,6.75,38.08
548.831,1.94,12.52,6.74,37.84
549.173,1.9,12.56,6.76,37.56
549.514,1.92,12.62,6.8,37.43
549.856,1.92,12.63,6.83,37.2
550.198,1.91,12.64,6.82,37.03
550.54,1.91,12.62,6.82,36.9
550.882,1.9,12.67,6.77,36.78
551.223,1.94,12.65,6.81,36.65
551.565,1.94,12.71,6.83,36.71
551.906,1.9,12.74,6.83,36.53
552.248,1.86,12.75,6.84,36.47
552.589,1.86,12.8,6.84,36.43
552.931,1.85,12.81,6.84,36.32
553.272,1.84,12.87,6.86,36.39
553.614,1.84,12.98,6.83,36.49
553.955,1.85,12.95,6.79,36.33
554.296,1.86,12.94,6.8,36.19
554.638,1.87,13.03,6.8,36.21
554.979,1.86,13.06,6.82,36.16
555.32,1.85,13.1,6.83,36.14
555.661,1.88,13.11,6.86,36.02
556.002,1.87,13.08,6.87,35.94
556.344,1.84,13.14,6.88,35.88
556.685,1.83,13.18,6.85,35.92
557.026,1.85,13.18,6.85,35.92
557.367,1.86,13.21,6.84,36.05
557.707,1.88,13.27,6.84,36.07
558.048,1.87,13.33,6.8,36.19
558.389,1.89,13.4,6.82,36.28
558.73,1.92,13.41,6.83,36.38
559.071,1.95,13.47,6.86,36.56
559.412,1.91,13.53,6.87,36.56
559.752,1.87,13.6,6.91,36.63
560.093,1.82,13.59,6.89,36.67
560.433,1.79,13.59,6.91,36.67
560.774,1.79,13.64,6.91,36.72
561.115,1.81,13.71,6.94,36.92
561.455,1.79,13.76,6.99,36.95
561.796,1.83,13.77,6.94,37.03
562.136,1.86,13.82,6.89,37.11
562.476,1.93,13.86,6.87,37.21
562.817,1.94,13.83,6.8,37.23
563.157,1.92,13.86,6.8,37.3
563.497,1.89,13.85,6.77,37.26
563.837,1.9,13.91,6.72,37.3
564.178,1.91,13.98,6.78,37.4
564.518,1.9,13.96,6.78,37.38
564.858,1.86,14.04,6.79,37.46
565.198,1.89,14.17,6.86,37.69
565.538,1.92,14.19,6.84,37.83
565.878,1.97,14.34,6.84,37.96
566.218,2,14.34,6.82,38.07
566.558,2,14.37,6.8,38.1
566.898,2,14.4,6.83,38.11
567.237,1.99,14.39,6.78,38.12
567.577,1.97,14.41,6.77,38.09
567.917,1.99,14.42,6.74,38.1
568.257,1.99,14.37,6.7,38.1
568.596,1.94,14.4,6.68,38.17
568.936,1.93,14.39,6.63,38.28
569.275,1.98,14.4,6.63,38.44
569.615,1.99,14.47,6.66,38.61
569.955,2.02,14.5,6.66,38.79
570.294,2,14.58,6.64,38.84
570.633,1.97,14.62,6.66,38.94
570.973,2,14.66,6.67,38.94
571.312,2.03,14.69,6.7,39.03
571.651,2,14.78,6.61,39.12
571.991,2,14.81,6.61,39.07
572.33,2.02,14.85,6.62,39.13
572.669,2.01,14.86,6.64,39.26
573.008,1.97,14.88,6.61,39.37
573.347,1.97,14.89,6.58,39.52
573.686,1.98,14.95,6.54,39.62
574.025,1.97,14.97,6.6,39.67
574.364,2.03,15.03,6.6,39.88
574.703,2.02,15.06,6.54,40.01
575.042,2.07,15.09,6.5,40.13
575.381,2.12,15.17,6.51,40.29
575.72,2.11,15.22,6.54,40.51
576.059,2.14,15.27,6.49,40.73
576.398,2.17,15.43,6.46,41.08
576.736,2.16,15.45,6.43,41.37
577.075,2.17,15.54,6.45,41.66
577.414,2.16,15.63,6.51,42
577.752,2.25,15.71,6.56,42.26
578.091,2.33,15.84,6.63,42.55
578.429,2.34,15.91,6.72,42.87
578.768,2.45,15.86,6.76,43.12
579.106,2.53,16.01,6.84,43.48
579.445,2.61,16.04,6.87,43.74
579.783,2.7,16.13,6.94,44.05
580.121,2.67,16.2,6.93,44.31
580.459,2.66,16.21,6.91,44.54
580.798,2.73,16.29,6.94,44.89
581.136,2.67,16.4,6.98,45.21
581.474,2.65,16.47,7.01,45.34
581.812,2.64,16.52,7.06,45.51
582.15,2.58,16.5,7,45.62
582.488,2.63,16.5,7.04,45.76
582.826,2.65,16.64,7.07,45.82
583.164,2.65,16.65,7.11,45.82
583.502,2.68,16.71,7.16,45.89
583.84,2.66,16.67,7.16,46.08
584.178,2.66,16.76,7.25,46.32
584.516,2.71,16.83,7.34,46.5
584.853,2.74,16.96,7.41,46.92
585.191,2.73,16.99,7.42,47.31
585.529,2.76,17.03,7.45,47.58
585.866,2.8,17.05,7.49,47.83
586.204,2.85,17.17,7.59,47.97
586.542,2.86,17.18,7.59,48.01
586.879,2.86,17.26,7.63,48
587.216,2.85,17.33,7.7,47.95
587.554,2.87,17.34,7.76,47.76
587.891,2.87,17.45,7.88,47.65
588.229,2.82,17.53,7.98,47.35
588.566,2.8,17.53,8.05,47.11
588.903,2.81,17.66,8.06,46.84
589.24,2.79,17.66,8.11,46.79
589.578,2.82,17.65,8.19,46.62
589.915,2.83,17.63,8.24,46.67
590.252,2.81,17.62,8.31,46.71
590.589,2.81,17.54,8.31,46.75
590.926,2.89,17.57,8.31,46.86
591.263,2.88,17.5,8.35,46.8
591.6,2.92,17.57,8.41,46.72
591.937,2.83,17.49,8.36,46.6
592.274,2.85,17.53,8.46,46.23
592.611,2.86,17.55,8.38,45.89
592.947,2.9,17.69,8.4,45.7
593.284,2.8,17.68,8.44,45.44
593.621,2.73,17.73,8.48,45.32
593.957,2.69,17.7,8.49,45.14
594.294,2.72,17.71,8.47,44.89
594.631,2.69,17.75,8.43,44.82
594.967,2.68,17.68,8.48,44.67
595.304,2.66,17.57,8.46,44.51
595.64,2.69,17.58,8.41,44.26
595.977,2.72,17.53,8.41,44.18
596.313,2.76,17.57,8.46,44.17
596.649,2.81,17.6,8.56,44.28
596.986,2.81,17.65,8.63,44.34
597.322,2.8,17.72,8.62,44.44
597.658,2.85,17.84,8.71,44.6
597.994,2.84,17.93,8.74,44.8
598.33,2.88,17.96,8.83,44.95
598.667,2.76,17.97,8.8,44.92
599.003,2.72,17.99,8.82,44.78
599.339,2.71,17.97,8.86,44.84
599.675,2.74,18.09,8.97,44.77
600.011,2.67,18.18,8.98,44.73
600.347,2.7,18.16,9.07,44.69
600.682,2.68,18.23,9.08,44.56
601.018,2.73,18.21,9.1,44.45
601.354,2.71,18.24,9.07,44.37
601.69,2.71,18.3,9.06,44.24
602.025,2.71,18.25,9.01,44
602.361,2.72,18.23,9.07,43.84
602.697,2.71,18.27,9.13,43.86
603.032,2.77,18.3,9.16,43.85
603.368,2.81,18.37,9.19,43.94
603.703,2.83,18.46,9.21,44.15
604.039,2.89,18.46,9.18,44.21
604.374,2.89,18.48,9.21,44.42
604.71,2.89,18.42,9.18,44.59
605.045,2.92,18.47,9.15,44.59
605.38,2.93,18.48,9.12,44.83
605.715,2.92,18.52,9.17,44.99
606.051,2.96,18.56,9.19,45.17
606.386,2.89,18.51,9.25,45.34
606.721,2.93,18.62,9.24,45.79
607.056,2.94,18.8,9.28,46.18
607.391,2.99,18.81,9.36,46.83
607.726,3.07,19,9.54,47.99
608.061,3.27,19.22,9.78,49.88
608.396,3.48,19.47,10.11,52.39
608.731,3.8,19.98,10.49,55.54
609.066,4.06,20.32,10.97,58.92
609.4,4.51,20.76,11.54,62.59
609.735,4.88,21.25,11.96,66.03
610.07,5.16,21.64,12.32,68.6
610.405,5.29,21.88,12.49,70.24
610.739,5.47,22.04,12.63,71.02
611.074,5.53,22.08,12.64,71.08
611.408,5.53,22.06,12.61,70.55
611.743,5.43,21.94,12.48,69.64
612.077,5.36,21.94,12.42,68.78
612.412,5.28,21.82,12.33,67.95
612.746,5.26,21.76,12.31,67.21
613.081,5.23,21.69,12.25,66.37
613.415,5.15,21.63,12.23,65.45
613.749,5.07,21.65,12.07,64.33
614.083,4.87,21.57,11.82,62.75
614.418,4.69,21.44,11.52,61.32
614.752,4.48,21.36,11.25,59.67
615.086,4.34,21.31,11.15,58.13
615.42,4.08,21.32,10.95,56.63
615.754,3.93,21.24,10.72,55.3
616.088,3.88,21.15,10.58,54.2
616.422,3.77,21.1,10.47,53.44
616.756,3.71,21.09,10.5,52.66
617.09,3.71,21.06,10.54,52.4
617.424,3.7,21.03,10.47,52.2
617.757,3.67,20.97,10.48,51.86
618.091,3.69,20.85,10.47,51.63
618.425,3.62,20.58,10.53,51.44
618.758,3.69,20.53,10.56,51.43
619.092,3.65,20.51,10.53,51.28
619.426,3.58,20.43,10.51,50.98
619.759,3.58,20.45,10.49,50.71
620.093,3.62,20.54,10.46,50.72
620.426,3.54,20.64,10.45,50.62
620.759,3.56,20.91,10.41,50.52
621.093,3.48,20.92,10.35,50.26
621.426,3.52,20.98,10.31,50.18
621.759,3.56,21.1,10.27,50.33
622.093,3.53,21.07,10.19,50.2
622.426,3.48,20.96,10.18,50.12
622.759,3.56,21.06,10.17,50.12
623.092,3.54,20.99,10.1,50
623.425,3.5,20.98,10.14,49.92
623.758,3.42,20.92,10.12,49.6
624.091,3.4,21.02,10.16,49.44
624.424,3.37,21.07,10.16,49.33
624.757,3.4,21.09,10.09,49.14
625.09,3.24,20.95,9.99,48.88
625.423,3.22,20.96,10,48.87
625.756,3.3,21.01,10.01,48.93
626.089,3.39,20.94,10.07,49.11
626.421,3.5,20.83,10,48.95
626.754,3.53,20.87,10,48.87
627.087,3.52,20.85,9.96,48.9
627.419,3.64,20.88,10.01,48.98
627.752,3.65,21.05,10.07,49.14
628.084,3.68,21.08,10.1,49.37
628.417,3.7,21.25,10.13,49.64
628.749,3.64,21.38,10.17,49.86
629.081,3.7,21.46,10.22,50.23
629.414,3.73,21.68,10.32,50.51
629.746,3.8,22.04,10.43,50.78
630.078,3.86,22.03,10.44,50.79
630.411,3.82,22.06,10.36,50.58
630.743,3.78,22.07,10.22,50.51
631.075,3.8,22.03,10.28,50.41
631.407,3.74,21.88,10.23,50.13
631.739,3.71,21.8,10.24,49.87
632.071,3.67,21.6,10.16,49.6
632.403,3.7,21.57,10.13,49.3
632.735,3.72,21.57,10.18,49
633.067,3.71,21.62,10.29,48.58
633.399,3.68,21.56,10.15,48.29
633.73,3.67,21.66,10.19,48.12
634.062,3.69,21.66,10.13,48
634.394,3.63,21.6,10.15,47.72
634.726,3.57,21.58,10.14,47.52
635.057,3.52,21.6,10.17,47.46
635.389,3.51,21.57,10.1,47.39
635.72,3.59,21.59,10.22,47.28
636.052,3.66,21.69,10.26,47.2
636.383,3.7,21.67,10.28,46.94
636.715,3.71,21.75,10.25,47.06
637.046,3.71,21.65,10.3,47.08
637.378,3.67,21.7,10.16,47.03
637.709,3.65,21.76,10.22,47.01
638.04,3.52,21.82,10.22,47.12
638.371,3.32,21.77,10.07,47.23
638.703,3.3,21.97,10.14,47.41
639.034,3.24,22.01,10.1,47.24
639.365,3.16,22.2,10.01,47.2
639.696,3.31,22.38,10.1,47.3
640.027,3.42,22.34,10.14,47.43
640.358,3.47,22.43,10.11,47.28
640.689,3.69,22.5,10.21,47.29
641.02,3.68,22.42,10.16,47.46
641.351,3.76,22.55,10.14,47.39
641.681,3.84,22.66,10.17,47.41
642.012,3.69,22.53,10.11,47.54
642.343,3.62,22.58,10.04,47.46
642.674,3.59,22.61,9.98,47.54
643.004,3.52,22.68,10.01,47.61
643.335,3.55,22.69,10,47.49
643.665,3.62,22.6,9.94,47.74
643.996,3.62,22.62,9.97,47.82
644.326,3.66,22.69,9.93,47.86
644.657,3.76,22.86,9.97,48.38
644.987,3.74,22.98,9.94,48.46
645.317,3.75,23.03,9.89,48.39
645.648,3.72,23.12,9.95,48.47
645.978,3.73,23.2,10.06,48.34
646.308,3.79,23.23,10.02,48.41
646.638,3.82,23.35,10.13,48.18
646.969,3.72,23.43,10.24,47.9
647.299,3.78,23.34,10.34,48
647.629,3.8,23.35,10.42,48.35
647.959,3.73,23.38,10.38,48.3
648.289,3.67,23.3,10.35,48.55
648.619,3.67,23.39,10.38,48.89
648.949,3.74,23.35,10.31,49.08
649.278,3.79,23.24,10.2,49.02
649.608,3.72,23.3,10.05,49.12
649.938,3.73,23.29,9.97,49.02
650.268,3.75,23.25,9.9,49.19
650.597,3.83,23.44,9.86,49.25
650.927,3.88,23.42,9.94,49.18
651.257,3.89,23.59,9.98,49.36
651.586,3.9,23.61,9.95,49.42
651.916,3.99,23.61,10.06,49.21
652.245,4.05,23.62,10.07,49.16
652.575,4.13,23.69,10.17,49.24
652.904,4.1,23.71,10.35,49.36
653.233,4.07,23.79,10.26,49.44
653.563,4.1,23.63,10.28,49.34
653.892,4.14,23.88,10.35,49.31
654.221,4.18,23.96,10.27,49.28
654.55,4.22,24.06,10.31,49.24
654.879,4.17,24.07,10.2,49.07
655.208,4.14,24.1,10.15,48.9
655.537,4.26,24.12,10.23,48.72
655.867,4.23,24.25,10.17,48.9
656.195,4.14,24.1,10.11,48.77
656.524,4.19,24.33,10.2,49.21
656.853,4.19,24.25,10.11,49.03
657.182,4.18,24.3,10.18,49.21
657.511,4.12,24.25,10.07,48.99
657.84,4.01,24.3,9.95,48.93
658.168,4.02,24.29,9.87,48.73
658.497,4.02,24.33,9.83,48.93
658.826,3.92,24.14,9.75,48.61
659.154,3.82,24.2,9.76,48.83
659.483,3.81,24.33,9.72,48.72
659.811,3.94,24.48,9.89,49.05
660.14,4.03,24.56,9.94,49.1
660.468,4.04,24.57,10.13,49.15
660.797,4,24.6,10.14,49.37
661.125,4.1,24.66,10.23,49.72
661.453,4.05,24.59,10.21,49.68
661.781,4.18,24.61,10.29,49.64
662.11,4.12,24.55,10.14,49.67
662.438,4,24.49,10.1,49.72
662.766,3.99,24.72,10.13,49.89
663.094,4.02,24.87,10.16,49.69
663.422,4.02,25.07,10.12,49.6
663.75,4.19,25.36,10.23,49.88
664.078,4.22,25.49,10.23,50.24
664.406,4.27,25.59,10.33,50.23
664.734,4.41,25.72,10.43,50.17
665.062,4.39,25.65,10.33,50.17
665.389,4.35,25.55,10.2,50.1
665.717,4.36,25.5,10.3,50.08
666.045,4.32,25.5,10.13,49.61
666.372,4.28,25.47,10.25,49.54
666.7,4.16,25.55,10.24,49.66
667.028,4.11,25.67,10.16,49.94
667.355,4.09,25.69,10.11,49.78
667.683,4.25,25.81,10.23,50.03
668.01,4.27,25.94,10.18,49.86
668.337,4.24,25.93,10.36,50.24
668.665,4.1,25.97,10.14,50.24
668.992,4.23,26.01,10.14,50.17
669.319,4.19,25.83,10.09,49.97
669.647,4.23,25.97,10.14,50.1
669.974,4.27,25.92,10.03,50.12
670.301,4.37,26.03,10.07,50.42
670.628,4.39,26.04,10.02,50.31
670.955,4.57,25.95,10.07,50.43
671.282,4.42,25.82,9.96,50.41
671.609,4.35,25.87,9.97,50.56
671.936,4.29,25.86,9.96,50.52
672.263,4.27,25.98,10.17,50.47
672.59,4.03,25.7,9.9,50.37
672.917,4.11,25.74,9.99,50.46
673.243,4.05,25.88,9.91,50.38
673.57,4.4,26.2,9.96,50.49
673.897,4.43,26.43,10.01,50.35
674.223,4.49,26.21,9.93,50.5
674.55,4.56,26.31,9.71,50.41
674.877,4.72,26.47,9.72,50.61
675.203,4.62,26.56,9.39,50.62
675.53,4.59,26.55,9.54,50.47
675.856,4.37,26.39,9.52,50.22
676.182,4.37,26.36,9.5,50.51
676.509,4.48,26.55,9.65,50.58
676.835,4.6,26.68,9.91,50.82
677.161,4.54,26.88,9.97,50.58
677.487,4.5,26.91,10.05,50.76
677.814,4.61,26.97,10.04,50.94
678.14,4.66,27.03,9.9,51.25
678.466,4.62,26.97,9.99,51.16
678.792,4.55,26.98,10,51.1
679.118,4.38,26.82,9.82,50.91
679.444,4.37,26.66,10.04,50.96
679.77,4.43,26.61,10.19,50.92
680.096,4.43,26.67,10.21,50.87
680.421,4.5,26.88,10.42,50.97
680.747,4.51,26.94,10.3,51.01
681.073,4.41,27.06,10.15,51.22
681.399,4.36,27.1,10.15,51.27
681.724,4.38,27.2,10.03,51.18
682.05,4.45,27.29,9.92,51.09
682.375,4.41,27.31,9.88,51.02
682.701,4.31,27.09,9.88,50.93
683.026,4.31,27.26,9.82,50.98
683.352,4.51,27.41,10.06,50.86
683.677,4.84,27.66,10.17,51.36
684.003,4.93,27.78,10.04,51.48
684.328,4.9,27.97,10.37,51.78
684.653,4.86,28.13,10.21,52
684.978,5,28.36,10.25,52.19
685.304,5.13,28.24,10.23,52.11
685.629,5.1,28.23,10.13,52.25
685.954,4.94,28.1,10.07,52.11
686.279,5.02,28.27,10.24,52.46
686.604,5.13,28.4,9.95,52.37
686.929,5.15,28.55,10.24,52.66
687.254,4.94,28.31,10,52.54
687.579,5.08,28.52,10.1,52.84
687.904,5.11,28.51,10.19,52.76
688.228,4.93,28.52,10.01,52.77
688.553,4.89,28.38,9.94,52.51
688.878,4.99,28.29,10.04,52.79
689.202,5.21,28.25,9.87,52.55
689.527,5.47,28.62,10.07,52.64
689.852,5.6,28.71,10.28,52.84
690.176,5.64,28.75,10.13,52.91
690.501,5.72,28.94,10.46,53.01
690.825,5.66,28.95,10.65,53.17
691.15,5.61,29,10.65,52.89
691.474,5.47,28.84,10.74,52.92
691.798,5.27,28.9,10.62,52.83
692.123,5.09,28.71,10.3,52.88
692.447,4.91,28.51,10.36,53
692.771,4.89,28.43,10.29,52.75
693.095,4.96,28.58,10.09,52.93
693.419,4.73,28.48,9.99,53.14
693.743,4.61,28.73,9.73,53.24
694.067,4.56,28.52,9.81,53.36
694.391,4.55,28.67,9.97,53.14
694.715,4.58,28.83,9.96,52.93
695.039,4.71,28.95,9.95,53.01
695.363,4.85,29.02,10.07,52.78
695.687,4.89,29.33,9.9,52.76
696.01,4.99,29.38,10.07,52.8
696.334,4.86,29.49,9.99,52.61
696.658,4.94,29.39,10.02,52.6
696.982,5.18,29.47,9.96,52.78
697.305,4.98,29.26,9.85,52.8
697.629,4.83,29.26,9.78,52.95
697.952,4.91,28.98,9.94,52.74
698.276,4.86,28.74,9.83,52.76
698.599,5.06,28.74,9.85,52.86
698.922,5.02,28.7,9.67,52.86
699.246,5.12,28.74,9.73,52.72
699.569,5.26,28.93,9.55,52.73
699.892,5.3,29.02,9.55,52.81
