Day,Pair,Flower,Treatment,File Name,Block,scale bar (pixel),scale bar (mm),flower width (mm),Flower width (pixels),Genus,gender,length(pixels),length(mm),land,start,stop,duration(s),nectar,pollen,attack,Notes,File Location
3,6,15,control,DSC_0016,b,141,12.7,23.78,264,beetle left on treated,,,0.00,,17142,18000,28.60,,,no,,
3,7,17,treated,MVI_9750,a,77,12.7,25.73,156,beetle left,,,0.00,,313222,328901,522.63,,,,,
3,7,19,control,DSC_0018,a,134,12.7,21.99,232,beetle left on treated,,,0.00,,2270,17955,522.83,,,no,"petals intact, anthers not apparent",
3,7,6,treated,DSC_0019,b,105,12.7,25.28,209,lithurgus,female,166,20.08,no,1328,1339,0.37,no,no,,"petals intact,  anthers apparent",
3,7,6,treated,DSC_0019,b,105,12.7,25.28,209,lithurgus,female,167,20.20,no,7512,7527,0.50,no,no,,,
3,7,6,treated,DSC_0019,b,105,12.7,25.28,209,melissodes,female,129,15.60,yes,12135,12291,5.20,yes,no,no,,
3,7,6,treated,DSC_0019,b,105,12.7,25.28,209,melissodes,male,130,15.72,yes,12510,12898,12.93,yes,no,no,,
3,7,1,control,MVI_9751,b,117,12.7,16.17,149,melissodes,male,92,9.99,no,331629,331635,0.20,no,no,no,"petals intact,  anthers apparent",
3,7,1,control,MVI_9751,b,117,12.7,16.17,149,melissodes,male,123,13.35,no,335868,335876,0.27,no,no,no,,
3,7,1,control,MVI_9751,b,117,12.7,16.17,149,melissodes,male,114,12.37,no,340265,340269,0.13,no,no,no,,
3,7,1,control,MVI_9751,b,117,12.7,16.17,149,melissodes,male,95,10.31,no,340964,340969,0.17,no,no,no,,
3,8,1,treated,MVI_9752,a,117,12.7,21.17,195,no bees,,,0.00,,,,0.00,,,,"petals intact, anthers apparent",
3,8,9,control,DSC_0020,a,97,12.7,24.61,188,no bees,,,0.00,,,,0.00,,,no,"petals intact, anthers apparent",
3,8,5,treated,MVI_9753,b,87,12.7,22.04,151,lithurgus,female,129,18.83,yes,372359,372411,1.73,no,no,no,"petals intact, anthers apparent",
3,8,5,treated,MVI_9753,b,87,12.7,22.04,151,melissodes,female,118,17.23,no,378058,378074,0.53,no,no,,,
3,8,5,treated,MVI_9753,b,87,12.7,22.04,151,apis,female,148,21.60,no,382507,382526,0.63,no,no,,,
3,8,17,control,DSC_0021,b,107,12.7,24.57,207,Andrena,male,116,13.77,yes,4619,5124,16.83,yes,no,no,"petals intact, anthers apparent",
3,8,17,control,DSC_0021,b,107,12.7,24.57,207,melissodes,male,104,12.34,no,6297,6304,0.23,no,no,no,,
3,8,17,control,DSC_0021,b,107,12.7,24.57,207,melissodes,male,97,11.51,no,10983,10997,0.47,no,no,no,,
