Day,Pair,Flower,Treatment,File Name,Block,scale bar (pixel),scale bar (mm),flower width (mm),Flower width (pixels),Genus,sex,length(pixels),length(mm),land,start,stop,duration(s),nectar,pollen,attack,Notes,File Location
3,4,9,treated,MVI_4734,b,80,12.7,32.07,202,Andrena,male,90,14.29,yes,17846,17861,0.5,yes,no,no,,
3,4,20,control,MVI_6791,b,85,12.7,27.04,181,Melissodes,male,80,11.95,no,1527229,1527264,1.17,no,no,no,,
3,4,20,control,MVI_6791,b,85,12.7,27.04,181,Melissodes,male,90,13.45,no,1528082,1528102,0.67,no,no,no,,
3,4,20,control,MVI_6791,b,85,12.7,27.04,181,Melissodes,male,94,14.04,no,1528221,1528226,0.17,no,no,no,,
3,4,20,control,MVI_6791,b,85,12.7,27.04,181,Melissodes,male,86,12.85,no,1531981,1531992,0.37,no,no,no,,
3,4,20,control,MVI_6791,b,85,12.7,27.04,181,Melissodes,male,77,11.5,yes,1533631,1533640,0.3,yes,no,no,,
3,4,20,control,MVI_6791,b,85,12.7,27.04,181,Melissodes,male,81,12.1,yes,1533886,1533896,0.33,yes,no,no,,
3,4,20,control,MVI_6791,b,85,12.7,27.04,181,Andrena,male,112,16.73,no,1534610,1534624,0.47,no,no,no,,
3,4,20,control,MVI_6791,b,85,12.7,27.04,181,Melissodes,male,99,14.79,no,1534991,1535001,0.33,no,no,no,,
3,4,20,control,MVI_6791,b,85,12.7,27.04,181,Melissodes,male,89,13.3,no,1536761,1536768,0.23,no,no,no,,
3,4,20,control,MVI_6791,b,85,12.7,27.04,181,Melissodes,male,91,13.6,no,1537325,1537335,0.33,no,no,no,,
3,4,20,control,MVI_6791,b,85,12.7,27.04,181,Melissodes,female,85,12.7,no,1538348,1538353,0.17,no,no,no,,
3,4,20,control,MVI_6791,b,85,12.7,27.04,181,Melissodes,male,83,12.4,no,1538821,1538826,0.17,no,no,no,,
3,4,20,control,MVI_6791,b,85,12.7,27.04,181,Melissodes,male,72,10.76,no,1540860,1540864,0.13,no,no,no,,
3,5,5,control,MVI_6793,a,72,12.7,34.22,194,Melissodes,female,93,16.4,yes,1568077,1568435,11.93,yes,no,no,beautiful flower,
3,5,5,control,MVI_6793,a,72,12.7,34.22,194,Lithurgus,female,105,18.52,no,1568466,1568489,0.77,no,no,no,,
3,5,5,control,MVI_6793,a,72,12.7,34.22,194,Melissodes,male,72,12.7,yes,1568557,1568601,1.47,yes,no,no,,
3,5,5,control,MVI_6793,a,72,12.7,34.22,194,Melissodes,male,69,12.17,yes,1568591,1568610,0.63,yes,no,no,,
3,5,5,control,MVI_6793,a,72,12.7,34.22,194,Melissodes,male,71,12.52,no,1570447,1570458,0.37,no,no,no,,
3,5,5,control,MVI_6793,a,72,12.7,34.22,194,Melissodes,male,70,12.35,no,1580918,1580922,0.13,no,no,no,"video stopped 20 seconds short, additional 20 filmed in 6794, no landings",
3,5,12,treated,MVI_4736,a,109,12.7,23.42,201,Lithurgus,female,116,13.52,no,4046,4060,0.47,no,no,no,one petal pointed towards the center of the flower,
3,5,12,treated,MVI_4736,a,109,12.7,23.42,201,Melissodes,female,91,10.6,yes,6114,6119,0.17,no,no,no,,
3,5,18,treated,MVI_4737,b,111,12.7,29.98,262,Lithurgus,female,140,16.02,yes,3530,3601,2.37,yes,yes,no,"Symetric flower,",
3,5,18,treated,MVI_4737,b,111,12.7,29.98,262,Lithurgus,female,133,15.22,yes,4262,4280,0.6,yes,no,no,,
3,5,18,treated,MVI_4737,b,111,12.7,29.98,262,Melissodes,male,97,11.1,no,4997,5002,0.17,no,no,no,,
3,5,18,treated,MVI_4737,b,111,12.7,29.98,262,Andrena,female,131,14.99,yes,9968,10133,5.5,yes,yes,no,Came very close to Ambush bug,
3,5,18,treated,MVI_4737,b,111,12.7,29.98,262,Melissodes,female,114,13.04,yes,11809,12441,21.07,yes,yes,no,"came very close to ambush bug, ambush bug began moving its legs, bee moved down the disk of the flower, and ambush bug shifted its position",
